ticket_id;tipo_error;area;producto;aplicativo;clasificacion;urgencia;mesa_asignada;nivel;confianza;resultado;razonamiento;procesado_en
SD-80573;;Siniestros;SOAT;SOAT;Incidencia (error);media;Service Desk 1;-;0.52;DERIVADO_AUTOMATICAMENTE;Complejidad evaluada: media (score: 50.0) | Recomendación de complejidad: N1 con posible escalamiento a N2 | Evaluación de capacidad: Asignado a Service Desk 1 (carga: 60.0%) | Decisión final: Asignar a Service Desk 1;2026-02-21 22:35:20
SD-80417;;Siniestros;SOAT;SOAT;Incidencia (error);media;Service Desk 1;-;0.52;DERIVADO_AUTOMATICAMENTE;Complejidad evaluada: media (score: 54.0) | Recomendación de complejidad: N1 con posible escalamiento a N2 | Evaluación de capacidad: Asignado a Service Desk 1 (carga: 60.0%) | Decisión final: Asignar a Service Desk 1;2026-02-21 22:35:21
